Site,Borehole/Test No.,Depth,Test,wn,LL,PL,PI,K0,G50,Ir,su,qnet,Nkt,sigma_vo,uo,qt,u2,fs,Qt,Bq,Fr
GOG4,STFPU,11.3,CAUC,101,134,50,84,0.447368421,1350.333333,56.26388889,24,271.611,11.317125,154.7,113,426.311,241.1,13.12,6.513453237,0.471630383,7.594350544
GOG4,STFPU,14.4,CAUC,130,143,45,98,0.448979592,NaN,NaN,18,325.892,18.10511111,198.1,144,523.992,323.2,13.98,6.023881701,0.549875419,7.229289482
GOG4,STFPU2,3,CAUC,127,147,58,89,0.444444444,271.3333333,45.22222222,6,67.09885,11.18314167,38.71875,30,105.8176,61.36,3.06,7.695925448,0.467370156,7.295919888
GOG4,STFPU2,4.6,CAUC,106,131,52,79,0.5,278,30.88888889,9,103.07,11.45222222,60.9,46,163.97,87,4.4,6.917449664,0.397787911,6.528189911
GOG4,STFPU2,9.6,CAUC,110,144,57,88,0.451612903,757,44.52941176,17,228.4332,13.43724706,130.9,96,359.3332,188.52,11.02,6.545363897,0.405019936,7.291253143
GOG4,STFPU2,12.55,CAUC,117,141,66,76,0.451612903,662.6666667,36.81481481,18,278.2558,15.45865556,171.5,125,449.7558,256.38,12.34,5.983995699,0.472155477,7.127180317
GOG4,STFPU2,14.9,CAUC,103,151,60,91,0.450980392,1462.666667,58.50666667,25,321.8902,12.875608,205.1,149,526.9902,330.22,12.54,5.737793226,0.562987006,6.72386059
GOG4,STB5b,2.87,CAUC,121,141,57,84,0.444444444,167,23.85714286,7,89.182,12.74028571,36.015,28,125.197,65.7,7.78,11.12688709,0.422731044,12.4989959
GOG4,STB5b,6.9,CAUC,107,135,56,80,0.523809524,537.6666667,41.35897436,13,190.5082,14.65447692,93.1,69,283.6082,148.02,14.44,7.904904564,0.414785295,11.12309351
GOG4,STB5b,9.9,CAUC,100,137,40,98,0.46875,1262.333333,66.43859649,19,238.5642,12.55601053,135.1,99,373.6642,205.62,14.5,6.608426593,0.446923721,9.399714767
GOG4,STB5b,12.9,CAUC,88,118,50,68,0.454545455,1692.333333,73.57971014,23,257.1486,11.18037391,177.1,129,434.2486,258.46,17.28,5.34612474,0.503444312,11.43008334
GOG4,STS2,2.72,CAUC,121,152,55,97,0.5,334.3333333,55.72222222,6,63.4605125,10.57675208,34.6696875,27,98.1302,58.22,3.94,8.274197938,0.491959468,9.951929528
GOG4,STS2,7.38,CAUC,115,148,61,87,0.52173913,962,64.13333333,15,194.444,12.96293333,98.7,73,284.5734,149.74,9.18,7.232428016,0.412861657,7.374678663
GOG4,STS2,11.12,CAUC,120,141,56,85,0.459459459,1495.666667,93.47916667,16,240.5882,15.0367625,151.9,111,392.4882,220.02,13.9,5.882352078,0.453139431,9.243250432
GOG4,STS2,14.68,CAUC,96,144,64,79,0.46,2037.333333,75.45679012,27,253.4826,9.388244444,200.9,146,448.512,281.2,12.3,4.510236794,0.54601554,9.295646917
